IP: 127.0.0.1 | Time: [2026-04-18 15:31:24] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 15:54:22] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:30:51] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:37:24] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:37:37] | File: /?id=49874be7-5cbb-4297-8b90-a2555233a03e&vscodeBrowserReqId=1776530257287 | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:37:59] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:39:24] | File: /?id=49874be7-5cbb-4297-8b90-a2555233a03e&vscodeBrowserReqId=1776530363681 | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:39:54] | File: /?id=49874be7-5cbb-4297-8b90-a2555233a03e&vscodeBrowserReqId=1776530393717 | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:40:44] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:42:26] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:42:41] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:43:19] | File: /?id=49874be7-5cbb-4297-8b90-a2555233a03e&vscodeBrowserReqId=1776530599044 | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:44:32] | File: /?id=49874be7-5cbb-4297-8b90-a2555233a03e&vscodeBrowserReqId=1776530671624 | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:44:50] | File: /?id=49874be7-5cbb-4297-8b90-a2555233a03e&vscodeBrowserReqId=1776530690322 | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:44:56] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:45:09] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:47:18] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:47:34] | File: /index.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 16:56:20] | File: /index.html | Status: 200
IP: 127.0.0.1 | Time: [2026-04-18 16:56:20] | File: /favicon.ico | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 17:52:50] | File: /index.html | Status: 200
IP: 127.0.0.1 | Time: [2026-04-18 17:52:56] | File: /nostudy.jpg | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 17:53:00] | File: /no_study.jpg | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 17:53:14] | File: /nostudy.jpg | Status: 404
IP: 127.0.0.1 | Time: [2026-04-18 17:53:18] | File: /no_study.JPG | Status: 200
IP: 127.0.0.1 | Time: [2026-04-18 17:53:23] | File: /no_study.JPG | Status: 200
IP: 127.0.0.1 | Time: [2026-04-18 17:59:55] | File: /index.html | Status: 200
IP: 127.0.0.1 | Time: [2026-04-18 18:26:53] | File: /../src/server.py | Status: 403
IP: 127.0.0.1 | Time: [2026-04-18 18:27:33] | File: /index.html | Status: 304
IP: 127.0.0.1 | Time: [2026-04-18 18:27:53] | File: /index.html | Status: 400
IP: 127.0.0.1 | Time: [2026-04-18 18:28:08] | File: /index.html | Status: 200
IP: 127.0.0.1 | Time: [2026-04-20 12:43:57] | File: /index.html | Status: 200
IP: 127.0.0.1 | Time: [2026-04-20 12:45:24] | File: /nonexistent_file.html | Status: 404
IP: 127.0.0.1 | Time: [2026-04-20 12:48:51] | File: /index.html | Status: 200
